Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Y2015,1.25,0.27,0.49,0.11,0.43,0.01,0.35,0,1.81,0.1,0.06,1.08
Y2014,0,2.79,0.36,0.26,0,0,0.14,0.03,0.02,0.24,0.42,4.04
Y2013,1.3,0.2,0.66,0.06,0.39,0,0.03,0,0,0.02,0.69,0.3
Y2012,1.19,0.12,1.78,1.51,0.01,0,0,0,0,0.15,1.31,2.82
Y2011,0.81,1.47,4.04,0,1.49,0.02,0,0.96,0.01,0.63,1.69,0.67
Y2010,4.3,3.23,0.21,1.25,0.08,0,0,0,0,1.56,0.59,8.83
Y2009,0.51,3.41,0.05,0,0,0.15,0,0,0,1.3,0,2.05
Y2008,4.67,2.17,0.03,0.03,0.11,0,0,0,0,0,1.5,2.51
Y2007,0.39,0.82,0.09,0.36,0,0,0.01,0,0.49,0.64,0.5,1.59
Y2006,1.42,2.03,2.52,1.63,0.6,0.01,0.1,0.01,0,0,0.25,0.61
Y2005,6.87,6.95,1.08,0.9,0.33,0,0,0,0.25,1.01,0.47,0.95
Y2004,0.49,4.61,0.77,0.03,0.04,0,0,0,0,3.78,0.11,6.49
Y2003,0,3.78,1.66,0.49,0.95,0,0.02,0,0,0.71,0.8,1.14
Y2002,0.73,0.35,0.27,0.02,0.11,0.05,0,0,0.08,0.05,1.6,1.77
Y2001,4.68,7.3,1.29,1.1,0.01,0,0,0,0,0.04,1.34,1.25
Y2000,0.85,4.71,2.39,1.88,0,0,0,0.03,0.03,1.12,0,0
Y1999,1.19,0.5,2.12,2.23,0,0.59,0,0,0,0,0.28,0
Y1998,3.71,13.79,3.37,1,2.46,0.09,0,0,0.01,0,1.89,0.74
Y1997,5.12,0.05,0,0,0,0,0,0,0.27,0,2.66,3.93
Y1996,1.94,4.19,1.36,0.42,0.05,0,0,0,0,1.46,1.93,4.74
Y1995,12.71,0.62,5.67,0.74,0.61,0.6,0.06,0,0,0.01,0.1,2.16
Y1994,0.33,4.36,1.01,0.44,0.08,0,0,0,0,0.14,0.66,1.05
Y1993,10.63,5.48,1.83,0,0,0.74,0,0,0,0.09,0.93,0.97
Y1992,1.61,4.7,5.08,0.18,0.04,0,0.32,0,0,0.5,0,4.16
Y1991,1.38,2.53,3.96,0,0,0,0.17,0,0.09,0.06,0,2.86
Y1990,1.18,2.6,0.14,0.34,0.83,0,0,0.02,0,0,0.1,0.03
Y1989,0.59,1.72,0.86,0,0.04,0,0,0,0.26,0.34,0.38,0
Y1988,1.61,1.79,0.08,1.14,0,0,0,0.02,0.07,0,0.73,2.52
Y1987,1.27,0.64,0.92,0.02,0,0.09,0.08,0,0.08,1.74,0.6,1.79
Y1986,2.31,5.36,4.89,0.3,0,0,0.09,0,1.44,0.1,1.14,0.3
Y1985,0.7,1.91,0.72,0,0.16,0,0,0,0.28,0.36,4.75,0.44
Y1984,0.39,0.01,0.14,1.16,0,0,0,0.29,0.09,0.28,1.24,4.21
Y1983,5.25,5.64,6.37,3.18,0.04,0.03,0,1.25,1.91,0.94,2.74,2.11
Y1982,2.78,0.66,3.41,1.61,0.11,0.01,0,0,0.78,0.18,3.48,0.66
Y1981,1.51,1.58,3.24,0.46,0,0,0,0,0.05,0.4,2.63,1.52
Y1980,6.97,9.13,3.69,0.17,0.07,0,0,0,0,0,0,1.57
Y1979,5.26,2.53,4.74,0,0,0,0,0,0.04,0.31,0.22,0.42
Y1978,7.48,7.66,5.75,1.23,0,0,0,0,0.39,0.04,1.2,0.83
Y1977,3.21,0.26,1.23,0,2.55,0,0,2.47,0,0,0.04,3.92
Y1976,0,2.15,0.83,0.77,0,0.28,0.02,0.03,1.85,1.5,0.87,0.95
Y1975,0.01,3.21,2.98,0.74,0.04,0,0,0,0,0.24,0,0.1
Y1974,5.68,0.13,2.49,0.14,0.02,0,0,0,0,0.54,0,3.76
Y1973,3.16,4.87,2.42,0,0.01,0,0,0.02,0,0.08,1.92,0.45
Y1972,0,0.16,0,0,0.01,0.06,0,0.06,0.03,1.79,3.13,1.88
Y1971,0.66,0.36,0.23,0.68,0.17,0,0,0,0,0.28,0.22,5.7
Y1970,1.44,1.39,1.29,0,0,0.01,0,0,0,0.02,3.68,4.12
Y1969,9.6,3.76,0.42,0.38,0,0,0.15,0,0.01,0,1.37,0.01
Y1968,0.84,0.44,3.77,0.49,0,0,0.04,0,0,0.32,0.24,1.42
Y1967,2.71,0.05,1.47,2.68,0.03,0,0,0,0.44,0,7.47,1.05
Y1966,0.84,1.4,0.49,0.01,0.02,0,0.01,0,0.19,0.04,2.69,3.67
Y1965,0.43,0.34,1.63,4.52,0,0.03,0,0.12,0.11,0,6.38,3.25
Y1964,1.49,0,1.2,0.2,0.01,0.29,0,0,0,0.3,1.07,1.95
Y1963,0.62,4.48,2.42,1.41,0.02,0.24,0,0.01,1.13,0.42,2.76,0
Y1962,2.68,11.07,1.11,0,0.06,0,0,0,0,0.07,0.02,0.01
Y1961,1.27,0,0.46,0.02,0,0,0.01,0.3,0.04,0,1.88,1.07
Y1960,2.83,2.9,0.21,2,0,0,0,0,0,0,2.67,0.06
Y1959,1.11,3.72,0,0.39,0,0,0,0,0.04,0.01,0.06,1.11
Y1958,1.49,6.26,5.25,2.04,0.01,0,0,0.02,0.03,0.32,0,0.01
Y1957,3.88,1.94,0.95,1.33,0.27,0.06,0.03,0,0,1.27,0.46,2.1
Y1956,8.07,0.51,0,2.07,0,0,0,0,0,0.01,0,0.49
Y1955,4.12,0.88,0.15,2.2,0.42,0.07,0.01,0,0,0,1.35,0.94
Y1954,4.78,3.36,2.6,0.11,0.02,0.01,0.01,0.04,0,0,1.24,0.74
Y1953,1.13,0.1,0.44,1.78,0,0,0.02,0,0,0,1.23,0.06
Y1952,7.23,0.72,4.33,1.21,0,0,0,0,0.06,0,2.76,2.28
Y1951,2.82,0.54,0.38,1.37,0.02,0,0,0.06,0,0.23,0.71,4.63
Y1950,2.53,2.04,0.47,0.41,0,0.02,0.03,0,0.11,0.12,0.94,0.01
Y1949,2.3,1.55,1.44,0.01,0.42,0,0,0,0.01,0,1.46,2.21
Y1948,0.15,1,2.24,0.63,0,0.04,0,0,0,0.03,0,2.22
Y1947,0.09,0.44,1.02,0.23,0.04,0,0,0.01,0.03,0.08,0.03,0.98
Y1946,0.25,0.53,3.29,0.65,0,0,0,0,0.01,0.8,7.92,2.91
Y1945,0.15,2.74,3.21,0,0,0.03,0,0,0,0.46,0.18,4.45
